id,name,link,description,cooktime,ingredients,recipe
10,chicken bhuna masala,https://fatimacooks.net/chicken-bhuna/,I love the simpicity of this recipe. It's so easy to make but packs in such flavour! This curry is on the spicy side so adjust the red chilli accordingly if you so wish. Don't miss out the paprika as it is for the red colour.,1 hour 30 minutes,"2   (220 g) medium onions | 4   (½ kg) medium tomatoes | ½ cup  (90 ml) oil | 5 cloves   garlic minced | 1 tablespoon   ginger minced | 1 ½ lb  (700 g) chicken, bone in, cut into curry-pieces about 1 medium-sized chicken | 0.5 teaspoon   turmeric haldi | 3.5 teaspoon   coriander dhania powder | 2.5 teaspoon   cumin zeera powder | 1.5 teaspoon   salt or to taste | 1.3 teaspoon   red chilli powder | 1 teaspoon   paprika | 0.5 teaspoon   black pepper ideally coarsely ground | coriander fresh, for garnish, optional | red chilli fresh or dried, for garnish, optional","Heat the oil in a pan and add the garlic, ginger and onions. Saute this on medium heat till brown and almost burning on the edges. This will take about 10 minutes. | Add the tomatoes, spices and ¼ cup water. Cook this for 5-10 minutes till the masala looks thick and jammy | Turn the heat to high and add the chicken. Sear the chicken till it no longer remains pink and browns ever so slightly. If you want it to form a slight crispy crust, you can saute it for longer. The more you sear the chicken at this stage, the better the results are | Once the chicken has browned, turn the heat to the lowest possible, cover and let simmer for 30-40 minutes. You may not need to add any water because the chicken will release a lot of it's own juices, but do check every 10-15 minutes to ensure it isn't burning. If needed, add ¼ cup of water. | After 40 minutes, this is how much water I had! At this point, you want to uncover it and begin to dry up the curry till the masala is thick and coating the chicken pieces. This took me 10 minutes but it depends on how much water your chicken released. Stay close by at all times during this stage and stir often. | Your Bhuna Chicken Masala is done! Garnish with fresh coriander and red chillis and serve with rice or chapattis."
11,chicken dopiaza (indian restaurant curry),https://fatimacooks.net/chicken-dopiaza-chicken-curry-with-onions/,No Description ❌,1 hour,"⅓ cup   oil | 2   onions chopped finely (for the masala) | 6 cloves   garlic minced | 1 tablespoon   minced ginger | 1 tablespoon   cumin seeds | 2   black cardamom pods | 1   finger-sized piece whole cinnamon | 1.5 teaspoon   red chilli powder or to taste | 1 teaspoon   cumin powder | 1.5 teaspoon   coriander powder | 2 teaspoon   salt or to taste | 1 tablespoon   tomato puree | 1   chicken, skin-off and cut into curry-pieces (1 medium sized chicken = approx 800g/1.7lb) | 2   onions diced into thick cubes (to add towards the end) | fresh coriander, to garnish","Heat the oil in a pot. Once hot, add the finely sliced onions, garlic, ginger, black cardamom, cumin seeds and cinnamon stick. Fry this over a medium-high heat till the onions turn a light shade of golden. | Turn the heat to high and add the chicken pieces and tomato puree and the rest of the spices. Once the chicken is no longer pink and coated in the masala, add ½ cup (125ml) water. Turn the heat to low, cover and simmer. | After 15-20 minutes of simmering on low, the chicken should be nearly done. At this point, uncover and add the diced onion pieces. Cover again and cook for 7 -10 minutes. | Take the lid off and have a look at how the sauce in the curry is looking. If you'd like to thicken the sauce, cook it for a further few minutes over a medium to high heat, until the thickness is too your liking."
12,dal chicken recipe - chicken & lentil curry,https://fatimacooks.net/dal-chicken-recipe-lentil-curry/,"This Dal Chicken recipe is an absolutely delicious, finger-licking good curry that you'll love to cook over and over again!",1 hour 45 minutes,"3 tablespoon  (45 ml) oil | 2   (220 g) onions chopped | ½   bulb garlic minced (about 1,5 tbsp) | 1   medium sized chicken, bone in, curry cut (1 medium chicken = about 700g-1kg or 1.5-2.2lbs) | 3 teaspoon   salt or to taste | 0.5 teaspoon   turmeric | 1 teaspoon   red chilli powder | 1 teaspoon   cumin powder | 2 teaspoon   coriander powder | 4   small tomatoes chopped | 1 cup  (190 g) chana dal (split chickpeas) (washed and soaked in water for at least 30 minutes before using) | 1 teaspoon   turmeric | 1 teaspoon   salt | ½ cup   oil | 1 ½   (165 g) medium onions, finely sliced | 2 tablespoon   cumin seeds | 4   dried red chillies","Start by putting all the chana dal ingredients to boil on a medium high heat with lots of water. Cook these until they are just cooked through, but still holding their shape. Reserve the cooking water. | Separately, heat oil in a deep pot and add the chopped onions. Fry till these are translucent and lightly turning gold. | Add the garlic, all the spices and the chicken. Fry this all well until the chicken begins to brown. | Add the chopped tomatoes, cover and simmer for 15 minutes. | Once the simmer time is up, uncover and add in the chana dal, as well as about one cup of the reserved water. | Bring it all to a boil, then cover and simmer again on low for 20 minutes. You will likely need to add more water, so keep checking and topping up the water if necessary. Remember, this curry has a tendency to absorb a lot of water, therefore keep the curry a bit more liquid-y than appears to be enough. | Once the the curry is ready, start on the tadka. Heat up the tadka oil in a small frying pan on a medium heat and add the onions. Stir the onions constantly, allowing them to become a golden colour. Once you're at a light golden shade, add the cumin and dried red chillies. Continue to fry and stir until the onions become a dark golden. Immediately take off the heat and pour the oil over the Chicken Dal. | Serve immediately!"
13,one post chicken pulao recipe,https://fatimacooks.net/chicken-pulao-best-one-pot-recipe/,"Chicken Pulao is one of the most popular Pakistani recipes and this method makes it a super quick and easy affair, using just one pot and a convenient spice cloth,",45 minutes,"4 tablespoon  (60 ml) oil or ghee | 3   (330 g) onions sliced | 10 cloves   garlic | 1.5 tablespoon   freshly grated ginger | 1.7 lb  (800 g) chicken, bone in about one medium sized chicken | 2 tablespoon   whole cumin seeds | 4 teaspoon   salt or to taste | 1   finger-sized piece whole cinnamon | 2.5 tablespoon   whole coriander seeds | 2.5 tablespoon   black peppercorns | 2   bay leaf | 10   green cardamoms | 3   black cardamoms | 5   whole cloves | 0.5   star anise | 2.5 cups  (½ kg) white basmati rice washed and soaked for a minimum of 30 minutes | 3.5 cups/850ml water (IMPORTANT: please read notes if you are changing the serving size)","Heat oil/ghee in a pot or pan and add the onions. Fry these until the onions become gold. Towards the end of this fry-time, add the garlic and ginger. | Add the chicken and cumin seeds. Fry the chicken well until it no longer remains pink and becomes to turn gold, stirring to ensure it doesn't catch at the bottm of the pot. |  | Once the chicken is golden, add a half a cup of water  and salt. Make a ball using the whole spices and the spice cloth and add this too. Cover with a lid and cook this for 20 minutes. | Uncover and add 3.5 cups of hot water. Bring this to a boil and then add the basmati rice. Give everything a good stir, being careful not to be to harsh. | Cook this on high until most of the water has dried out (this may take about 10 minutes) | Turn the heat down to the lowest setting. Cover with a tight lid, and allow the Pulao to steam-cook for 15-20 minutes | Fluff up with a fork and serve while hot"
14,lahori chargha,https://fatimacooks.net/lahori-chargha/,"Whole chicken marinated in traditional Pakistani spices, steamed and then fried for a delicious and crispy masala coating. Absolutely divine!",50 minutes,"1   whole chicken, skin off 1 medium sized chicken = 800g/1.7lb | 2 tablespoon  (40  g) full fat yogurt | 1.5 teaspoon   red chilli less if you prefer a more mild flavour | 1 teaspoon   salt or to taste | 1 teaspoon   cumin powder or seeds | 1 teaspoon   garam masala | 0.5 teaspoon   turmeric | 2 teaspoon   coriander powder | 1 tablespoon   ghee | 3 tablespoon   vinegar | 2 tablespoon   gram flour | 1   egg (raw) | 7 cloves   of garlic minced (about 2 tsp) | A small chunk of ginger minced (about 1tsp) | Oil as needed for frying | Chaat masala optional, for sprinkling over","Whisk or grind all the ingredients except the chicken, chaat masala and the oil. Spread this mixture all over the chicken, being sure to get into the deep cuts. Marinate this for a minimum of 4 hours, but ideally overnight | Prepare a pot - use either some vegetables such as potatoes or onions, a trivet, bunched up foil or a steamer basket to help suspend the chicken above the base of the pan as shown in the images in the blog post. Add half a cup of water to the pot, then carefully place the chicken over whatever you've used to suspend it. Ensure the chicken does NOT touch the bottom of the pot, otherwise it may burn. Cover with a tight lid, and steam on a low heat for 25-35 minutes. You'll know the chicken is done when the juices run clear when you stick a skewer or knife through the meatiest part of the leg | Allow the chicken to rest for 15 or so minutes before frying | Prepare a pan/wok with a few centimetres of oil. Heat the oil and once it is hot, add the chicken. Carefully fry the chicken, turning once one side is crispy and coloured. Avoid overhandling the chicken, as the marinade may scrape off. Use tongs and/or a spatula to help you. | Once the chicken has been fried all over, remove it from the oil and allow it to drain on a tissue before serving. Sprinkle with chaat masala before serving if you like!"
15,chicken pakora recipe,https://fatimacooks.net/chicken-pakora-chicken-recipe/,"These delicious Chicken Pakoras are oozing with flavour and that perfect, crisp texture! Made using a variety of spices and ingredients, these are sure to be a new favourite!",15 minutes,8 tablespoon  (100 g) gram flour | 4 tablespoon  (50 g) cornflour or rice flour or a mix of both | 1 teaspoon   salt or to taste | 1 teaspoon   red chilli powder | 1 teaspoon   chilli flakes | 1.5 teaspoon   cumin powder | 1.5 teaspoon   coriander powder | 0.25 teaspoon   turmeric | 1 teaspoon   dried fenugreek kasoori methi | 2 tablespoon   lemon juice | ¼ teaspoon   bicarbonate of soda | 2.5 tablespoon   freshly chopped coriander leaf | 1 tablespoon   minced garlic | 2   green chillies sliced finely | 1.1 lb  (½ kg) raw chicken cut into bite-sized pieces | Oil for deep frying,"In a bowl, combine all the ingredients except for the oil and chicken. | Add in cold water, a very small amount at a time, mixing each time until the mixture becomes thick and resembles PVA glue. If in doubt, keep things on the drier side. | Mix in the chicken pieces | Preheat some oil in a frying pan or karahi. | Once the oil is hot, drop in some pieces of chicken, ensuring you don't overcrowd the pan. Turn them over a few times whilst they fry, to ensure they brown evenly. Once the pakoras become golden brown, remove using a slotted spoon and drain over a colander lined with tissue before serving immediately."
16,pakistani chicken korma - authentic recipe,https://fatimacooks.net/chicken-korma-authentic-pakistani-recipe/,"An authentic, rich and luxurious korma is perfect to serve on a special occasion or get-together. This recipe is the real deal, with lots of warming spices and deep flavour. Pairs perfectly with some naan, sheermaal or taftaan.",1 hour 20 minutes,"½ cup  (125 ml) oil/ghee | 2   (200 g) small onions sliced finely (about 2 small or 1 large onion) | 2-2.2 lb  (800-1000 g) chicken, bone in bone in, cut into curry pieces | 3 tablespoon   minced garlic | 1 tablespoon   minced ginger | ½ cup  (130 g) full fat yogurt | ½ cup  (65 g) unsalted cashews ground into a fine paste with water (see notes for substitutions) | 4   black cardamoms | 16   green cardamoms | 15   cloves | 2   bay leaf | 1 teaspoon   black peppercorns | 1   medium sized cinnamon stick | 3 teaspoon   coriander powder | 1 teaspoon   cumin powder | 1 teaspoon   red chilli powder | 1-2 teaspoon   salt to taste | Kewra water 1tsp or more as per preference | 1 oz  (20 g) almonds (1oz/30g almonds = 20 almonds)","Heat the oil/ghee in a deep pot or pan. Add the sliced onions and fry them over a medium to high heat, stirring often and keeping a very close eye on them to ensure they brown evenly. You may find you need to turn the heat down after a while if they look like they may be browning too quickly/unevenly. | Once the onions have turned a dark brown (not black!), use a slotted spoon to remove them and rest them spread out on a paper towel. Set aside - these will crisp up as we work on the korma. This entire process will take about 20-25 minutes. | Add the chicken, spices, ginger and garlic to the oil in the same vessel. Fry this over a medium to high heat, until the chicken no longer remains pink. | Add in the yogurt and cashews paste. Fry everything well, stirring the entire time, until the oil begins to separate from the sauce of the curry and looks glossy. | Add in 400ml/1 ¾ cups of water, bring everything to a boil and then cover with a lid and cook on a low heat for about 30 minutes.. | As the korma cooks, once the onions have cooled down completely and become crisp, you can crush them using your hands or a pestle and mortar until they are broken down into a textured mixture. Don't crush them into a fine powder or paste. | Take the lid off and stir in the onions. Return the lid and cook for a further 10 minutes. | Add in the kewra water. Give everything a taste and adjust the chilli and salt if needed | Garnish with almonds just before serving."
17,chicken kali mirch recipe,https://fatimacooks.net/chicken-kali-mirch-recipe/,This tasty and easy recipe comes together using such simple ingredients but it packs such a delicious punch!,50 minutes,4 tablespoon  (60 ml) oil | 1.5   (165 g) medium onion diced finely | 1 heaped tsp   garlic paste | 1.1 lb  (½ kg) boneless chicken | 3-4 teaspoon   coarsely ground black pepper add 3 initially then add the 4th teaspoon towards the end if you feel like you want a stronger flavour | 1 teaspoon   salt | 0.5 teaspoon   cumin powder | 0.5   coriander powder | 0.6 cups  (150 g) full fat yogurt | Fresh coriander and green chilli for serving,"Heat the oil in a wok/karahi style pan. Add the finely diced onions and fry over a medium to high heat until the onions begin to turn golden. | Add the garlic, chicken and spices. Fry everything until the chicken no longer remains pink. | Add the yogurt. Stir everything together and continue to sauté the mixture until the yogurt concentrated into a thick, jammy paste, looks glossy and the oil begins to separate around the edges. | Add half a cup of water, bring to a boil and then cover and cook on low for 20 minutes. | Once the time is up, uncover the curry and then cook over a medium to high heat for 5 minutes, until the curry begins to look glossy and the oil separates around the edges. You can dry it out till it is your desires consistency or alternatively keep the gravy a little thinner. | Serve garnished with fresh coriander and green chillies."
18,methi chicken,https://fatimacooks.net/methi-chicken/,Methi Chicken is a wholesome and easy recipe made with fresh fenugreek and bone-in chicken. This goes beautifully with some hot buttered roti!,40 minutes,"¼ cup  (65 ml) oil | 1   medium onion, finely diced | ½   chicken, bone in, cut into curry-pieces 1 chicken weighs on average 1.7lb/800g | 1.5 teaspoon   ginger garlic paste | ¼ cup  (65 g) full fat yogurt | 3   green chillies ideally ground into a paste, otherwise chopped | 1.5 teaspoon   coriander powder | 1.5 teaspoon   cumin powder | 0.25 teaspoon   turmeric | 1 teaspoon   salt or to taste | 0.5 teaspoon   red chilli powder or to taste | 5 cups  (70 g) fresh fenugreek, chopped known as Methi in Urdu","Heat the oil in a deep pan or pot, then add the diced onions. Sauté over a medium to high heat, stirring often until the onions begin to turn golden | Add in the chicken and ginger and garlic paste. Saute over a medium high heat, until the chicken is sealed | Proceed to add the yogurt, spices and green chillies. Sauté everything over a medium to high heat, stirring continuously until the mixture thickens considerably and the oil begins to rise, separating at the edges | Add ⅔cup/150ml of water. Stir, bring to a boil and then cover, simmering over a low heat for 25 minutes. | Uncover and add in the chopped fenugreek. Stir through and allow the curry to cook uncovered over a medium heat until the fenugreek wilts. Keep cooking this until you feel the consistency of the curry is as you'd like it. You can keep it as thick or watery as you'd like | Once the curry is at your desired consistency, it's ready."
19,achari chicken,https://fatimacooks.net/achari-chicken/,"An easy, tangy, pickle flavoured chicken curry made using a special achar spice mix you can make at home yourself!",45 minutes,"1 teaspoon   nigella seeds kalonji | 1 teaspoon   fennel seeds saunf | 1 teaspoon   cumin seeds zeera | 1.5 teaspoon   black mustard seeds rai | 1.7 lb  (¾ kg) chicken, bone in 1.7lb/800g is the approximate size of a medium-sized chicken | ½ cup  (120 g) full fat yogurt | 2 teaspoon   coriander powder | 6   green chillies Thai bird eye or finger chilli - the slim variety of chillies, ground into a paste (about 1 tsp) | 8   garlic cloves ground into a paste/2 teaspoon garlic paste | 1 teaspoon   ginger paste | 1.5 teaspoon   salt or to taste | 0.5 teaspoon   turmeric | ½ cup  (125 ml) oil | 2   medium onions diced finely | 2 tablespoon   tomato concentrate OR two medium tomatoes finely diced | 8   bullet chillies | juice from half a lemon | 3 teaspoon   chaat masala | fresh coriander for garnishing","Grind the nigella seeds, fennel seeds, cumin seeds and mustard seeds in a pestle and mortar or spice grinder until fine. | Prepare the marination: mix together all the marination ingredients and set aside for at least 4 hours and a maximum of 24 hours. | When ready to start cooking, add the oil into a deep pan or pot. Once heated, add in the diced onions and sauté them over a medium to high heat until the onions turn brown. | Add in the marinated chicken. Sauté this until the chicken no longer remains pink and any water released from the yogurt concentrates. It'll look pretty dry when this step is completed. Keep stirring over a medium to high heat to ensure it doesn't burn. | Add the tomato concentrate/tomatoes. If using tomato concentrate, also add ½ cup/125mls water too. Cover and simmer everything over a low heat for 25 minutes. | As the chicken is cooking, prepare the green chillies. Mix the lemon juice and chaat masala, then set aside. Use a knife to create a slit down the centre of the chilli, then apply pressure to the top and bottom to open up the slit. Insert 2-3 teaspoon of the lemon and chaat masala mixture into the chillies, then set aside. | Once the cook time for the chicken is up, uncover and add in the chillies. Allow the chillies to cook alongside everything for 5 minutes."
20,kaleji masala | liver curry,https://fatimacooks.net/kaleji-masala-liver-curry/,A flavourful and delicious kaleji recipe,30 minutes,"1.1 lb  (½ kg) chicken liver cut into bite sized pieces | 1 teaspoon   ginger and garlic paste | 1   lemon we'll just be using the juice from this | 0.5 teaspoon   cumin powder | 0.25 teaspoon   red chilli powder | 0.25 teaspoon   turmeric powder | 1.5 teaspoon   coriander powder | 2   green chilies 4-5 for more heat, finely chopped or minced | 4 tablespoon  (80 g) yogurt ideally full fat | ⅓ cup  (85 ml) oil | 1 teaspoon   cumin seeds | 6   whole cloves | 4   green cardamoms | 0.5 teaspoon   whole black pepper or coarsely crushed black pepper | 1   medium piece of whole cinnamon | 1   medium onion finely processed into a paste | 2   medium tomatoes finely processed into a paste | salt to taste (start with 0.5 teaspoon and then adjust) | fresh coriander for garnishing | green chilies for garnishing","Marinate the liver with all the ingredients from the 'marination' section and marinate everything for a minimum of one hour. | In a deep pot or wok, heat the oil. Add in the onions and whole spices and sauté them over a medium to high heat for 6-8 minutes, until they begin to turn lightly golden. Please note, blended onions won't turn much darker than this shade, so once they've got some colour, you're good to proceed. | Add in the blended tomatoes and sauté everything further over a high heat till the mixture becomes very thick, concentrated and glossy. The oil should begin to separate at the edges. Towards the end of this, add in all the spices. | Add in the marinated liver, alongside all the marination liquid. Sauté this mixture in the oil really really well - this will take lots of time as the liver and yogurt will release some moisture. Keep sauteing the liver until the mixture looks thick and the oil separates at the edges. | Add  half a cup/125ml of water, bring to a boil, then cover and cook on low for 5-10 minutes | Finish off with a heavy hand of coriander and green chilies for garnishing. I also used some red chili flakes since I liked how they looked!"
21,mutton karahi & lamb karahi recipe (karahi gosht),https://fatimacooks.net/lamb-mutton-karahi-recipe/,"Delicious, luxurious and authentic lamb & mutton Karahi recipe for the win! When you want something special, this one is a winner",1 hour 30 minutes,"½ cup  (125 ml) oil or ghee | 1.1 lb  (½ kg) lamb or mutton bone in preferably | 5   (600 g) tomatoes, diced very finely | 1   bulb garlic minced | 1   thumb sized chunk of ginger minced | 2 teaspoon   salt or to taste | 2 teaspoon   paprika or kashmiri red chilli powder | 1.5 teaspoon   black pepper | 1 teaspoon   chilli flakes | 0.5 teaspoon   cumin powder | 0.5 teaspoon   coriander powder | 1 teaspoon   nigella seeds kalonji, optional | 2-4   green chillis slit in half if you like your Karahi hot | 0.5   bunch coriander chopped | ginger cut into matchsticks as much as desired","Heat up your oil/ghee in a wok, cast iron skillet or karahi. Add the lamb/mutton and fry on high, stirring constantly until all the meat has changed its colour | Add the minced ginger and garlic and give this a quick fry for 1-2 minutes, until the raw smell goes away. Don't allow the ginger and garlic to colour too much. | Add all the spices and 1/1.5 cups (250-375ml) of water for lamb and 2.5/3 cups (625-750ml) of water for mutton. Bring to a boil, then turn the heat down to low and put to lid on. Simmer for 1hr for lamb and 2-2.5hrs for mutton. Keep checking during this time to ensure there is sufficient water and top up a little as and if it looks like there's no water left in the pan. | Once the simmer time is up, the meat should be almost done, and there shouldn't be much water in the pan. The pan will look quite oily (remember, you can remove the oil at the end if you want!). If there is a lot of moisture in the pan at this stage, please dry it out over a high heat without the lid until there's very little left. | Turn the heat to high. Add the diced tomatoes. Let this cook on high, stirring constantly and scraping the bottom of the pan. The tomatoes will release A LOT of juices. Keep stirring and allow the sauce to concentrate | Once the sauce looks thick, jammy and glossy, and the oil is beginning to rise to the surface, add in half the chopped coriander and green chilli. Turn the heat to low and allow this to simmer without the lid off for 5 minutes. | Garnish with additional chopped coriander and the matchstick-cut ginger."
22,aloo gosht (pakistani meat & potato curry),https://fatimacooks.net/aloo-gosht/,Comfort food at its finest. A family favourite worthy of both a quiet night in and for guests at a dinner party. Serve with chapattis or basmati rice (my favourite is rice!),2 hours,"0.5 cup  (125 ml) oil | 1   (150 g) large onion, diced finely | 5 cloves   garlic, minced | 1 inch   ginger, minced | 2   (180 g) small  tomatoes. chopped roughly | 1.1 lb  (½ kg) lamb, bone in | ¾ lb  (300 g) potatoes, peeled and chopped into chunks | 1 teaspoon   salt or to taste | 2 teaspoon   coriander powder | 2 teaspoon   cumin powder | 1 teaspoon   red chili powder | 0.5 teaspoon   turmeric | fresh coriander for garnish | ½ cup  (125 ml) oil | 1   (150 g) large onion chopped finely | 5 cloves   garlic minced | 1 inch   ginger minced | 2   (180 g) small  tomatoes. chopped roughly | 1.1 lb  (½ kg) lamb, bone in | ¾ lb  (300 g) potatoes, peeled and chopped into chunks | 1 teaspoon   salt or to taste | 2 teaspoon   coriander powder | 2 teaspoon   cumin powder | 1 teaspoon   red chili powder | 0.5 teaspoon   turmeric | a handful of chopped coriander for garnish","Chop and soak the potatoes in a bowl of water. The soaking will help remove some of the starches from the potato and prevent the shorba becoming gloopy the next day. | Heat oil in a pot. Add in onions, garlic and ginger and fry on medium-low, stirring occasionally till golden brown. This will take about 15 minutes | Add in the chopped tomatoes, ¾ cup of water and all the spices. Bring to a boil and then cover and cook on low for about half an hour, till the water has reduced significantly Once or twice, uncover and stir the mixture vigorously, mashing the tomatoes and onions. To save time, add in only the tomatoes and fry for a few minutes, then you can blend the onions and tomatoes without adding any water, then cook the moisture out. | Once most of the water has dried up, uncover and turn the heat up to high and begin to mash the mixture vigorously till the mixture seems to come together in a dry clump and the oil begins to separate from the sides. | Add in the lamb. Allow the lamb to brown in the mixture, stirring to avoid burning, about 5 minutes. | Once the lamb has turned a light brown shade and no more pink colouring remains, add in 4 cups of boiling water. Bring to a boil and then lower to the lowest heat and cover. | After approximately 1hour, remove the potatoes from their water and add to the lamb. Continue to cook until the potatoes have cooked, about half an hour. | Garnish with chopped fresh coriander (optional) | Add all the ingredients aside from the oil, potatoes and coriander into a deep pot. Add one cup of water, bring to a boil, and then simmer on low for an hour | Once the hour is up, add the oil and begin to saute the curry well, stirring constantly. This is the most important part of this method, so the longer you saute the better. This helps sear the meat, roast the spices, help the oil seperate and also breaks down the masala better. This will take ten minutes maximum |  | Add the potatoes and about 1-1.5 cups water. Bring to a boil, then simmer again for between 20-30 minutes, until the potatoes are cooked | If you want less soup/shorba at this point, cook the moisture out on high till it is your desired consistency. Similarly, if you want more, add some additional water and bring it to a boil. | Garnish with coriander to finish."
